cluster_size_pct,start_date,end_date,p_value,observed,expected,rel_risk,llr,radius
15,2009-04-01,2009-06-30,1e-17,4585,2173.3510035184,2.1136208611,1013.4141071888,85.9858269173
15,2010-04-01,2010-06-30,1e-17,6864,2529.5580195594,2.7227241587,2524.8535200683,108.7520641252
15,2010-04-01,2010-06-30,1e-17,2614,1658.9768204577,1.5768440069,233.867457296,108.1085244778
15,2011-05-01,2011-07-31,1e-17,7531,2908.284428098,2.5988742138,2551.1113127184,85.9858269173
15,2011-05-01,2011-07-31,1e-17,3656,1640.5861646712,2.2319786506,915.7817976644,108.1085244778
15,2012-04-01,2012-06-30,1e-17,11585,2444.1238196989,4.7739810196,8918.3346222466,108.7520641252
15,2012-05-01,2012-06-30,1e-17,2161,1091.4449360586,1.9815956998,407.0020801392,108.1085244778
15,2013-04-01,2013-06-30,1e-17,3029,1635.0244640466,1.8545870805,474.3871305821,108.1085244778
15,2014-04-01,2014-10-31,1e-17,18324,5195.2459561839,3.563645921,10035.6608488995,85.9858269173
15,2014-09-01,2014-11-30,1e-17,2674,1644.5131206533,1.6273192196,270.840948872,108.1085244778
15,2015-04-01,2015-06-30,1e-17,8393,2967.1291713852,2.8406884735,3312.7006407011,85.9858269173
15,2015-04-01,2015-06-30,1e-17,4918,1658.7849008563,2.9723732278,2089.8930566456,108.1085244778
15,2016-04-01,2016-11-30,1e-17,15812,6044.119325718,2.6362404286,5475.6707837478,85.9858269173
15,2016-05-01,2016-06-30,1e-17,1805,1116.7816606099,1.617118739,178.563997506,108.1085244778
15,2017-10-01,2017-11-30,0.548,1378,1240.2545087896,1.1111815643,7.3881291815,70.6091659798
15,2018-04-01,2018-06-30,1e-17,8425,1839.7237032932,4.6031271213,6251.038567874,42.2218114438
15,2018-05-01,2018-07-31,1e-17,5128,1720.4638554112,2.9885309483,2197.3946441037,108.1085244778
15,2019-05-01,2019-06-30,1e-17,3313,1149.5446664952,2.8868778095,1345.1408438502,108.1085244778
15,2019-05-01,2019-07-31,1e-17,5479,3117.6345429782,1.7606670701,730.1353394892,85.9858269173
15,2020-10-01,2020-12-31,1e-17,4030,1644.2578198533,2.4555208358,1229.2811949942,108.1085244778
15,2020-10-01,2020-12-31,1e-17,4206,1798.9185431764,2.3424676404,1167.4455569871,70.6091659798
15,2020-10-01,2020-11-30,1e-17,4140,1781.2809459753,2.3284522248,1134.9741718219,45.660776977
15,2021-05-01,2021-06-30,1e-17,2391,1917.7279444856,1.2472481804,54.1995041812,85.9858269173
15,2023-06-01,2023-07-31,1e-17,4847,1109.3553792759,4.38196697,3415.0971889798,108.1085244778
15,2023-07-01,2023-08-31,1e-17,5051,1814.1896845753,2.7912073082,1939.2354736197,45.660776977
15,2023-07-01,2023-08-31,1e-17,2983,1447.8885368086,2.0627096403,621.9889184962,85.9858269173
