scenario,endpoint,model_spec,intervention_date,train_start,train_end,trend,year,actual_cases,predicted_cases,lower_95,upper_95,difference,percent_change
COVID-19 period,All reported HFMD cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2023,70288,190201.4202101634,127745.85,284819.8749999999,-119913.4202101634,-63.045491499308916
COVID-19 period,Typed EV71 cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2020,87,394.66488111242666,158,870.5249999999999,-307.66488111242666,-77.9559813493472
COVID-19 period,Typed EV71 cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2021,72,355.0441555738615,137,846.0499999999997,-283.0441555738615,-79.72083222053729
COVID-19 period,Typed EV71 cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2022,106,319.40098660880636,128.95,764.0499999999997,-213.40098660880636,-66.81287646433418
COVID-19 period,Typed EV71 cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2023,313,287.33606410669626,113.475,677.674999999999,25.663935893303744,8.931679346653116
COVID-19 period,Typed CV-A16 cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2020,220,1992.2605053935715,1060.85,3568.474999999995,-1772.2605053935715,-88.95726741536048
COVID-19 period,Typed CV-A16 cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2021,1123,2406.465751447951,1239.475,4598.399999999998,-1283.4657514479509,-53.33405433572865
COVID-19 period,Typed CV-A16 cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2022,776,2906.7872385232677,1597.475,5227.949999999995,-2130.7872385232677,-73.30385968000085
COVID-19 period,Typed CV-A16 cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2023,385,3511.129150688217,1848,6474.299999999998,-3126.129150688217,-89.0348664638401
COVID-19 period,Typed other-enterovirus cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2020,4122,5511.858257361887,3482.125,8156.449999999997,-1389.858257361887,-25.215783724219133
COVID-19 period,Typed other-enterovirus cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2021,3128,7506.850319803435,4864.275,11502.724999999999,-4378.850319803435,-58.33139243834149
COVID-19 period,Typed other-enterovirus cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2022,1412,10223.920698371663,6604.225,15851.149999999994,-8811.920698371663,-86.18925125050231
COVID-19 period,Typed other-enterovirus cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2023,5186,13924.42236004641,9214.8,21396.124999999996,-8738.42236004641,-62.75608520120532
