scenario,endpoint,model_spec,intervention_date,train_start,train_end,trend,year,actual_cases,predicted_cases,lower_95,upper_95,difference,percent_change
EV71 vaccine period,All reported HFMD cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2017,80344,104712.31425795188,84388.275,129080.17499999996,-24368.314257951875,-23.271679582901914
EV71 vaccine period,All reported HFMD cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2018,115029,103090.79765209278,82974.675,130561.1,11938.202347907223,11.580279345782007
EV71 vaccine period,All reported HFMD cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2019,70759,101494.39094970308,82486.79999999999,132653.77499999997,-30735.390949703084,-30.282846827401944
EV71 vaccine period,Typed EV71 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2017,470,659.1552928609084,467,933,-189.1552928609084,-28.696620494379154
EV71 vaccine period,Typed EV71 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2018,181,530.5592024858321,379,798.0999999999995,-349.5592024858321,-65.88505125310057
EV71 vaccine period,Typed EV71 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2019,63,427.0512129556722,305,662.0499999999997,-364.0512129556722,-85.2476709844776
EV71 vaccine period,Typed CV-A16 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2017,670,2410.8594284994583,1583.95,3969.0499999999997,-1740.8594284994583,-72.20908062578272
EV71 vaccine period,Typed CV-A16 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2018,999,3858.037173052112,2544.475,6932.199999999999,-2859.037173052112,-74.10600377368354
EV71 vaccine period,Typed CV-A16 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2019,1653,6173.918998635335,4000.925,12182.675,-4520.918998635335,-73.22608216328439
EV71 vaccine period,Typed other-enterovirus cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2017,1745,1980.3308373168302,1633.475,2437.0499999999997,-235.33083731683018,-11.883410230367481
EV71 vaccine period,Typed other-enterovirus cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2018,2932,2431.3379996530543,2009.95,3110.5249999999996,500.66200034694566,20.592036171786436
EV71 vaccine period,Typed other-enterovirus cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2019,2203,2985.059040218926,2461.475,3883.0999999999995,-782.0590402189259,-26.19911464670961
COVID-19 period,All reported HFMD cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2020,52712,149675.27982658154,96603.04999999999,222919.47499999998,-96963.27982658154,-64.78242762527401
COVID-19 period,All reported HFMD cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2021,53122,162120.51362266165,105863.325,243423.0749999999,-108998.51362266165,-67.2330177021013
COVID-19 period,All reported HFMD cases,primary_train_2008_2019,2020-01-01,2008-01-01,2019-12-01,linear,2022,28385,175600.54651461475,111465.45,268202.24999999994,-147215.54651461475,-83.83547172067736
