scenario,endpoint,method,year,actual_cases,predicted_cases,lower_95,upper_95,difference,percent_change
COVID-19 sensitivity (pre-vaccine baseline),All reported HFMD cases,pre_vaccine_baseline_2008_2015,2020,52712,445038.4794023942,237864.84463386278,832654.5633171453,-392326.4794023942,-88.15563093088431
COVID-19 sensitivity (pre-vaccine baseline),All reported HFMD cases,pre_vaccine_baseline_2008_2015,2021,53122,543871.3984922253,279182.3266311698,1059508.6798438523,-490749.39849222533,-90.23261746301237
COVID-19 sensitivity (pre-vaccine baseline),All reported HFMD cases,pre_vaccine_baseline_2008_2015,2022,28385,664652.8598944731,327089.1925798382,1350590.0973196384,-636267.8598944731,-95.72934960296317
COVID-19 sensitivity (pre-vaccine baseline),All reported HFMD cases,pre_vaccine_baseline_2008_2015,2023,70288,812257.1354011315,382645.04143225914,1724213.260069619,-741969.1354011315,-91.3465826354005
COVID-19 sensitivity (pre-vaccine baseline),Typed EV71 cases,pre_vaccine_baseline_2008_2015,2020,87,1105.7631431214338,468.9198853340929,2607.5953716345516,-1018.7631431214338,-92.13213059766039
COVID-19 sensitivity (pre-vaccine baseline),Typed EV71 cases,pre_vaccine_baseline_2008_2015,2021,72,1855.8688785664447,743.5844491523504,4631.982654070102,-1783.8688785664447,-96.12041557291397
COVID-19 sensitivity (pre-vaccine baseline),Typed EV71 cases,pre_vaccine_baseline_2008_2015,2022,106,1983.5844878697505,743.0832801763703,5295.070599316553,-1877.5844878697505,-94.65613889157615
COVID-19 sensitivity (pre-vaccine baseline),Typed EV71 cases,pre_vaccine_baseline_2008_2015,2023,313,2120.0891215745623,740.9517220217466,6066.448452203374,-1807.0891215745623,-85.23646969295616
COVID-19 sensitivity (pre-vaccine baseline),Typed CV-A16 cases,pre_vaccine_baseline_2008_2015,2020,220,2049.5463657334494,904.6157291665362,4643.718470973308,-1829.5463657334494,-89.26591739137012
COVID-19 sensitivity (pre-vaccine baseline),Typed CV-A16 cases,pre_vaccine_baseline_2008_2015,2021,1123,3514.106281522628,1466.1985801992257,8422.587564417436,-2391.106281522628,-68.04308378762481
COVID-19 sensitivity (pre-vaccine baseline),Typed CV-A16 cases,pre_vaccine_baseline_2008_2015,2022,776,4347.128213488333,1702.1836446195332,11102.104434579334,-3571.128213488333,-82.14913474159295
COVID-19 sensitivity (pre-vaccine baseline),Typed CV-A16 cases,pre_vaccine_baseline_2008_2015,2023,385,5179.590356198169,1899.5689967211624,14123.4545107074,-4794.590356198169,-92.56697975083515
COVID-19 sensitivity (pre-vaccine baseline),Typed other-enterovirus cases,pre_vaccine_baseline_2008_2015,2020,4122,10902.634735912377,6416.135361534568,18526.831252187327,-6780.634735912377,-62.192624995291524
COVID-19 sensitivity (pre-vaccine baseline),Typed other-enterovirus cases,pre_vaccine_baseline_2008_2015,2021,3128,15813.786712226538,8951.393414499898,27937.668921718912,-12685.786712226538,-80.21979139517819
COVID-19 sensitivity (pre-vaccine baseline),Typed other-enterovirus cases,pre_vaccine_baseline_2008_2015,2022,1412,22937.19419546024,12467.623658241033,42199.240394066,-21525.19419546024,-93.8440596178958
COVID-19 sensitivity (pre-vaccine baseline),Typed other-enterovirus cases,pre_vaccine_baseline_2008_2015,2023,5186,33269.37988568454,17341.53042147315,63827.72457282612,-28083.37988568454,-84.4120929881489
