scenario,period,year,actual_severe,actual_total,actual_prop,expected_prop,expected_prop_lcl,expected_prop_ucl
EV71 vaccine,2017-2019,2017,155,80344,0.001929204420989744,0.009499363785167693,0.007295410213809016,0.012386246993896627
EV71 vaccine,2017-2019,2018,69,115029,5.998487337975641e-4,0.020808532554191704,0.014483106631447522,0.029863822031721558
EV71 vaccine,2017-2019,2019,10,70759,1.4132477847340975e-4,0.05346886104306607,0.033073061747016866,0.0853354143029934
COVID-19,2020-2023,2020,3,52712,5.69130368796479e-5,0.0012978674473066282,0.0011023219438219965,0.001531113870239744
COVID-19,2020-2023,2021,8,53122,1.505967395805881e-4,0.0011673054437317148,9.849096262314306e-4,0.0013859955862973556
COVID-19,2020-2023,2022,3,28385,1.0568962480183196e-4,0.001049862711579916,8.795313773305555e-4,0.00125527764692812
COVID-19,2020-2023,2023,11,70288,1.564989756430685e-4,9.442238370647051e-4,7.850589723523009e-4,0.001137403060386373
