year,reported_cases,severe_cases,deaths,cfr_pct,deaths_per_100000_reported_cases
2008,26359,33,26,0.09863803634432262,98.63803634432263
2009,55925,72,3,0.005364327223960662,5.364327223960662
2010,84323,584,20,0.023718321217224246,23.718321217224243
2011,82739,432,15,0.018129298154437447,18.129298154437446
2012,105554,250,5,0.004736911912386077,4.736911912386077
2013,90447,232,19,0.02100677744977722,21.006777449777218
2014,145528,451,22,0.015117365730306196,15.117365730306197
2015,92572,179,3,0.003240720736291751,3.240720736291751
2016,138493,572,5,0.0036102907728188427,3.6102907728188427
2017,80344,155,3,0.0037339440406253107,3.733944040625311
2018,115029,69,1,8.693459910109624e-4,0.8693459910109624
2019,70759,10,1,0.0014132477847340974,1.4132477847340974
2020,52712,3,0,0,0
2021,53122,8,0,0,0
2022,28385,3,0,0,0
2023,70288,11,0,0,0
