age_group,cases,period,prop_pct
2-3,95761,2017-2019,35.982519952504774
4+,50503,2017-2019,18.9766732298258
<1,119868,2017-2019,45.04080681766943
2-3,53560,2021-2023,35.2844296584209
4+,44133,2021-2023,29.07408017391877
<1,54102,2021-2023,35.641490167660336
