"scenario","endpoint","model_order","training_start","training_end","forecast_start","forecast_end","train_mape_pct","aic","ljung_box_statistic","ljung_box_p","shapiro_p","max_relative_increase_pct","min_relative_change_pct","max_absolute_increase","max_absolute_decrease"
"EV71 vaccine rollout","All HFMD cases","(0,0,2)(2,1,2)[12]","2008-01","2016-05","2016-06","2019-12",22.52,1660.85,7.886,0.794,0.00467,25.7,-83.18,2507.4,-14910.4
"EV71 vaccine rollout","EV71 typed cases","(1,0,1)(2,1,1)[12]","2008-04","2016-05","2016-06","2019-12",40.79,812.77,10.266,0.593,0.065,-25.14,-98.28,-18.09,-253.1
"EV71 vaccine rollout","CV-A16 typed cases","(1,0,0)(1,1,1)[12]","2009-01","2016-05","2016-06","2019-12",54.9,741.44,8.85,0.716,3.62e-07,114.67,-86.05,223.28,-66.04
"EV71 vaccine rollout","Other typed cases","(1,0,0)(0,1,1)[12]","2008-05","2016-05","2016-06","2019-12",40.06,719.82,14.014,0.3,0.000659,225.92,-77.03,492.16,-100.1
"COVID-19 period","All HFMD cases","(1,0,0)(2,1,0)[12]","2008-01","2019-12","2020-01","2023-12",25.83,2475.96,12.575,0.401,0.00254,145.15,-98.98,16276.06,-17005.05
"COVID-19 period","EV71 typed cases","(0,1,3)(2,0,1)[12]","2008-04","2019-12","2020-01","2023-12",122.83,1335.38,12.556,0.402,2.11e-05,937.74,-93.99,75,-21.74
"COVID-19 period","CV-A16 typed cases","(0,0,3)(0,1,1)[12]","2009-01","2019-12","2020-01","2023-11",56.77,1182.76,8.186,0.77,5.45e-09,238.88,-99.46,131.82,-271.73
"COVID-19 period","Other typed cases","(2,1,1)(0,0,2)[12]","2008-05","2019-12","2020-01","2023-12",44.04,1439.19,26.456,0.00925,2.78e-13,884.76,-99.71,1820.26,-347.11
