name,year,typed_total,top_virus,top_cases,second_cases,top_share,dominance_gap
凤台县,2010,11,EV71,8,3,0.7272727272727273,5
凤台县,2011,139,CV-A16,69,57,0.49640287769784175,12
凤台县,2012,109,Others,46,45,0.42201834862385323,1
凤台县,2013,101,EV71,51,48,0.504950495049505,3
凤台县,2014,93,CV-A16,39,32,0.41935483870967744,7
凤台县,2015,103,CV-A16,46,40,0.44660194174757284,6
凤台县,2016,121,EV71,100,11,0.8264462809917356,89
凤台县,2017,35,Others,28,4,0.8,24
凤台县,2018,55,CV-A16,46,9,0.8363636363636363,37
凤台县,2019,60,Others,52,7,0.8666666666666667,45
凤台县,2020,51,Others,37,8,0.7254901960784313,29
凤台县,2021,29,Others,17,12,0.5862068965517241,5
凤台县,2022,9,Others,8,1,0.8888888888888888,7
凤台县,2023,39,Others,36,3,0.9230769230769231,33
凤阳县,2009,3,EV71,3,0,1,3
凤阳县,2010,20,EV71,14,5,0.7,9
凤阳县,2011,25,EV71,16,8,0.64,8
凤阳县,2012,20,CV-A16,16,2,0.8,14
凤阳县,2013,33,EV71,24,9,0.7272727272727273,15
凤阳县,2014,61,EV71,42,11,0.6885245901639344,31
凤阳县,2015,48,CV-A16,24,16,0.5,8
凤阳县,2016,66,Others,33,17,0.5,16
凤阳县,2017,31,Others,20,10,0.6451612903225806,10
凤阳县,2018,74,Others,49,25,0.6621621621621622,24
凤阳县,2019,81,Others,56,25,0.691358024691358,31
凤阳县,2020,80,Others,73,6,0.9125,67
凤阳县,2021,42,CV-A16,22,19,0.5238095238095238,3
凤阳县,2022,62,CV-A16,59,3,0.9516129032258065,56
凤阳县,2023,93,Others,93,0,1,93
利辛县,2008,1,EV71,1,0,1,1
利辛县,2009,12,EV71,10,2,0.8333333333333334,8
利辛县,2010,19,EV71,15,3,0.7894736842105263,12
利辛县,2011,36,EV71,14,13,0.3888888888888889,1
利辛县,2012,52,EV71,34,11,0.6538461538461539,23
利辛县,2013,33,EV71,24,9,0.7272727272727273,15
利辛县,2014,39,EV71,24,10,0.6153846153846154,14
利辛县,2015,5,Others,3,2,0.6,1
利辛县,2016,102,EV71,47,45,0.46078431372549017,2
利辛县,2017,32,Others,29,3,0.90625,26
利辛县,2018,43,Others,33,9,0.7674418604651163,24
利辛县,2019,54,Others,30,24,0.5555555555555556,6
利辛县,2020,71,Others,59,11,0.8309859154929577,48
利辛县,2021,110,Others,98,10,0.8909090909090909,88
利辛县,2022,41,Others,25,15,0.6097560975609756,10
利辛县,2023,127,Others,126,1,0.9921259842519685,125
包河区,2008,6,EV71,6,0,1,6
包河区,2009,12,EV71,12,0,1,12
包河区,2010,66,EV71,39,20,0.5909090909090909,19
包河区,2011,4,EV71,4,0,1,4
包河区,2012,16,EV71,8,6,0.5,2
包河区,2013,10,Others,7,3,0.7,4
包河区,2014,18,EV71,12,3,0.6666666666666666,9
包河区,2015,29,Others,13,11,0.4482758620689655,2
包河区,2016,6,EV71,3,2,0.5,1
包河区,2017,15,Others,12,2,0.8,10
包河区,2018,12,Others,11,1,0.9166666666666666,10
包河区,2019,38,Others,27,11,0.7105263157894737,16
包河区,2020,78,Others,78,0,1,78
包河区,2021,36,CV-A16,19,17,0.5277777777777778,2
包河区,2022,12,CV-A16,8,3,0.6666666666666666,5
包河区,2023,72,Others,63,7,0.875,56
南谯区,2009,5,EV71,5,0,1,5
南谯区,2010,17,EV71,13,4,0.7647058823529411,9
南谯区,2011,25,EV71,23,2,0.92,21
南谯区,2012,9,CV-A16,6,3,0.6666666666666666,3
南谯区,2013,8,EV71,8,0,1,8
南谯区,2014,7,EV71,7,0,1,7
南谯区,2015,33,Others,17,13,0.5151515151515151,4
南谯区,2016,37,Others,20,9,0.5405405405405406,11
南谯区,2017,34,CV-A16,17,11,0.5,6
南谯区,2018,42,Others,40,2,0.9523809523809523,38
南谯区,2019,61,Others,31,30,0.5081967213114754,1
南谯区,2020,73,Others,73,0,1,73
南谯区,2021,50,Others,40,10,0.8,30
南谯区,2022,54,CV-A16,33,21,0.6111111111111112,12
南谯区,2023,42,Others,37,4,0.8809523809523809,33
