scenario,endpoint,model_spec,intervention_date,train_start,train_end,trend,year,actual_cases,predicted_cases,lower_95,upper_95,difference,percent_change
EV71 vaccine period,All reported HFMD cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2017,80344,104712.31425795188,84388.275,129080.17499999996,-24368.314257951875,-23.271679582901914
EV71 vaccine period,All reported HFMD cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2018,115029,103090.79765209278,82974.675,130561.1,11938.202347907223,11.580279345782007
EV71 vaccine period,All reported HFMD cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2019,70759,101494.39094970308,82486.79999999999,132653.77499999997,-30735.390949703084,-30.282846827401944
EV71 vaccine period,All reported HFMD cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2017,80344,86240.74636180638,65709.55,116835.04999999999,-5896.7463618063775,-6.837540965923136
EV71 vaccine period,All reported HFMD cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2018,115029,68599.89499783744,52547.675,101386.4,46429.105002162556,67.68101467739301
EV71 vaccine period,All reported HFMD cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2019,70759,51197.63815480976,37663.100000000006,85644.275,19561.361845190237,38.207547359980204
EV71 vaccine period,Typed EV71 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2017,470,659.1552928609084,467,933,-189.1552928609084,-28.696620494379154
EV71 vaccine period,Typed EV71 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2018,181,530.5592024858321,379,798.0999999999995,-349.5592024858321,-65.88505125310057
EV71 vaccine period,Typed EV71 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2019,63,427.0512129556722,305,662.0499999999997,-364.0512129556722,-85.2476709844776
EV71 vaccine period,Typed EV71 cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2017,470,566.352914580835,386,898.5249999999999,-96.35291458083498,-17.012875205585726
EV71 vaccine period,Typed EV71 cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2018,181,360.1240324668043,241.47500000000002,678,-179.1240324668043,-49.73953869166332
EV71 vaccine period,Typed EV71 cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2019,63,209.73617292530002,136,467,-146.73617292530002,-69.96226300818496
EV71 vaccine period,Typed CV-A16 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2017,670,2410.8594284994583,1583.95,3969.0499999999997,-1740.8594284994583,-72.20908062578272
EV71 vaccine period,Typed CV-A16 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2018,999,3858.037173052112,2544.475,6932.199999999999,-2859.037173052112,-74.10600377368354
EV71 vaccine period,Typed CV-A16 cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2019,1653,6173.918998635335,4000.925,12182.675,-4520.918998635335,-73.22608216328439
EV71 vaccine period,Typed CV-A16 cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2017,670,1321.0024331699094,842.475,2268.7749999999987,-651.0024331699094,-49.28094126274606
EV71 vaccine period,Typed CV-A16 cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2018,999,1666.5565706535358,1058.325,3826.6749999999993,-667.5565706535358,-40.05604024541184
EV71 vaccine period,Typed CV-A16 cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2019,1653,2155.0940544449086,1317.4250000000002,6800.249999999998,-502.0940544449086,-23.29801121251916
EV71 vaccine period,Typed other-enterovirus cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2017,1745,1980.3308373168302,1633.475,2437.0499999999997,-235.33083731683018,-11.883410230367481
EV71 vaccine period,Typed other-enterovirus cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2018,2932,2431.3379996530543,2009.95,3110.5249999999996,500.66200034694566,20.592036171786436
EV71 vaccine period,Typed other-enterovirus cases,primary_train_2013_2016,2016-06-01,2013-01-01,2016-05-01,linear,2019,2203,2985.059040218926,2461.475,3883.0999999999995,-782.0590402189259,-26.19911464670961
EV71 vaccine period,Typed other-enterovirus cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2017,1745,2160.6752185193304,1701.4250000000002,2956.5249999999996,-415.67521851933043,-19.238209192966295
EV71 vaccine period,Typed other-enterovirus cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2018,2932,2603.1773823468648,1979.425,3927.5749999999994,328.82261765313524,12.631587070593284
EV71 vaccine period,Typed other-enterovirus cases,sensitivity_train_2010_2016,2016-06-01,2010-01-01,2016-05-01,quadratic,2019,2203,3068.1286947345193,2302.2250000000004,5335.024999999997,-865.1286947345193,-28.197275303974095
