year,virus,n,prop
2008,Others,7,0.09210526315789473
2008,EV71,69,0.9078947368421053
2009,Others,166,0.332
2009,EV71,251,0.502
2009,CV-A16,83,0.166
2010,Others,382,0.17137729923732614
2010,EV71,1166,0.5231045311799013
2010,CV-A16,681,0.30551816958277256
2011,Others,371,0.15439034540158136
2011,EV71,1634,0.6799833541406575
2011,CV-A16,398,0.16562630045776114
2012,Others,613,0.24114870180959874
2012,EV71,1059,0.41660110149488594
2012,CV-A16,870,0.3422501966955153
2013,Others,1018,0.37815750371471024
2013,EV71,1497,0.5560921248142645
2013,CV-A16,177,0.06575037147102526
2014,Others,771,0.23592411260709914
2014,EV71,1405,0.4299265605875153
2014,CV-A16,1092,0.33414932680538556
2015,Others,1475,0.5324909747292419
2015,EV71,532,0.192057761732852
2015,CV-A16,763,0.2754512635379061
2016,Others,1498,0.4088427947598253
2016,EV71,1266,0.3455240174672489
2016,CV-A16,900,0.24563318777292575
2017,Others,1745,0.6048526863084922
2017,EV71,470,0.16291161178509533
2017,CV-A16,670,0.2322357019064125
2018,Others,2932,0.7130350194552529
2018,EV71,181,0.04401750972762646
2018,CV-A16,999,0.24294747081712062
2019,Others,2203,0.562133197244195
2019,EV71,63,0.01607552947180403
2019,CV-A16,1653,0.421791273284001
2020,Others,4122,0.9306841273425153
2020,EV71,87,0.01964326032964552
2020,CV-A16,220,0.04967261232783924
2021,Others,3128,0.7235715938006014
2021,EV71,72,0.016655100624566273
2021,CV-A16,1123,0.2597733055748323
2022,Others,1412,0.6155187445510026
2022,EV71,106,0.046207497820401046
2022,CV-A16,776,0.33827375762859635
2023,Others,5186,0.8813732154996601
2023,EV71,313,0.05319510537049626
2023,CV-A16,385,0.06543167912984364
