year,age_group,cases,prop_pct
2008,2-3,11562,43.86357600819454
2008,4+,4807,18.2366554118138
2008,<1,9990,37.89976857999166
2009,2-3,25384,45.38936075100581
2009,4+,9089,16.25212337952615
2009,<1,21452,38.358515869468036
2010,2-3,38153,45.24625547003783
2010,4+,14650,17.37367029161676
2010,<1,31520,37.380074238345415
2011,2-3,37300,45.08152141070112
2011,4+,14126,17.072964381972223
2011,<1,31313,37.84551420732665
2012,2-3,46123,43.6961176269966
2012,4+,16447,15.581598044602762
2012,<1,42984,40.722284328400626
2013,2-3,33485,37.0216812055679
2013,4+,10648,11.772640330801464
2013,<1,46314,51.20567846363063
2014,2-3,62936,43.24666043647958
2014,4+,23818,16.36660986201968
2014,<1,58774,40.38672970150074
2015,2-3,37614,40.63215659162598
2015,4+,14231,15.372898932722636
2015,<1,40727,43.99494447565139
2016,2-3,54366,39.255413631013845
2016,4+,22028,15.905497028730695
2016,<1,62099,44.83908934025547
2017,2-3,29279,36.44204918848949
2017,4+,13695,17.045454545454543
2017,<1,37370,46.51249626605596
2018,2-3,39984,34.759930104582324
2018,4+,21032,18.28408488294256
2018,<1,54013,46.95598501247512
2019,2-3,26498,37.448239799884114
2019,4+,15776,22.29539705196512
2019,<1,28485,40.25636314815076
2020,2-3,21201,40.22044316284717
2020,4+,10286,19.513583244801943
2020,<1,21225,40.26597359235089
2021,2-3,20218,38.059561010504126
2021,4+,14060,26.467376981288353
2021,<1,18844,35.47306200820752
2022,2-3,10371,36.536903293993305
2022,4+,8765,30.878985379601904
2022,<1,9249,32.58411132640479
2023,2-3,22971,32.68125426815388
2023,4+,21308,30.315274300022764
2023,<1,26009,37.00347143182336
