serotype,model,beta_year,se_year,apc_pct,apc_lcl_pct,apc_ucl_pct,p_value,theta
CV-A16,Poisson,0.03924002341912783,0.03249010217691608,4.00200828703825,-2.41443243839804,10.84034246057124,0.22714222514935126,NA
CV-A16,Negative binomial,0.05110894246736685,0.03796282834934595,5.243754218061825,-2.302889352511006,13.373340608579065,0.17820929584336245,2.4872474610188147
EV71,Poisson,-0.09563323140555713,0.04506111502392172,-9.120272675062036,-16.802510829247108,-0.7286767788843851,0.03381250322376476,NA
EV71,Negative binomial,-0.15517940761024085,0.04738956995636368,-14.37384561348205,-21.96891903241137,-6.03951368981811,0.00105831267893673,1.3144352495889104
Others,Poisson,0.17839051728290092,0.024258798349481178,19.52920122923214,13.97891310320405,25.34976477238091,1.92877962425656e-13,NA
Others,Negative binomial,0.1783957427219573,0.0015846011370897173,19.52982582342051,19.15916381387199,19.90164083136987,0,9225206.92057197
