outcome,term,estimate,std_error,rr,rr_lcl,rr_ucl
EV71,Intercept,1.9302890017877417,0.04309214811356152,6.891501610098445,6.333344106259087,7.498849524858992
EV71,year,-0.403352912116208,0.004284131215054387,0.6680762854995259,0.6624900041588396,0.6737096717610735
EV71,gendermale,0.008605319304823373,0.029037024813426716,1.0086424515000336,0.9528409823448404,1.0677118363070233
EV71,age_group2-3,0.34585977706784204,0.03203201680258147,1.4132044382534117,1.3272073848807824,1.5047737128727148
EV71,age_group4+,0.7316771963008318,0.03855805116459473,2.078563845413442,1.9272679228549843,2.241736921071042
EV71,severeY,1.957344239649879,0.08332069901366343,7.080497967676607,6.01367275719434,8.336577910777798
CV-A16,Intercept,0.394965471971467,0.04015544771555984,1.4843329389460358,1.371988015831659,1.6058772002499118
CV-A16,year,-0.176019839543818,0.003328641636258579,0.8386013457038891,0.833148003647203,0.8440903824264173
CV-A16,gendermale,-0.052914534917318005,0.02431365920141027,0.9484610693221943,0.9043224344091564,0.9947540454501103
CV-A16,age_group2-3,0.5050064407217606,0.028241330363748963,1.6569961926779178,1.567768754741428,1.751301889545536
CV-A16,age_group4+,0.9715210084494325,0.03169944381180921,2.6419598481119557,2.482807803504618,2.81131379931349
CV-A16,severeY,-0.6851085696771819,0.1439368876659024,0.5040355036321728,0.3801365040802691,0.6683172654949571
