year,severe_std,n_typed,n_ev71,ev71_prop,odds_ev71
2008,Mild,71,65,0.9154929577464789,10.833333333333334
2008,Severe,5,4,0.8,4
2009,Mild,471,222,0.4713375796178344,0.891566265060241
2009,Severe,27,27,1,27
2010,Mild,1789,768,0.4292901062045836,0.752203721841332
2010,Severe,366,328,0.8961748633879781,8.631578947368421
2011,Mild,2145,1412,0.6582750582750583,1.9263301500682128
2011,Severe,242,212,0.8760330578512396,7.066666666666666
2012,Mild,2427,987,0.40667490729295425,0.6854166666666667
2012,Severe,90,66,0.7333333333333333,2.75
2013,Mild,2570,1385,0.5389105058365758,1.1687763713080168
2013,Severe,98,90,0.9183673469387755,11.25
2014,Mild,3038,1209,0.3979591836734694,0.6610169491525424
2014,Severe,218,192,0.8807339449541285,7.384615384615385
2015,Mild,2704,497,0.183801775147929,0.22519256909832353
2015,Severe,55,33,0.6,1.5
2016,Mild,3372,1040,0.3084223013048636,0.44596912521440824
2016,Severe,278,219,0.7877697841726619,3.711864406779661
2017,Mild,2840,449,0.15809859154929579,0.1877875365955667
2017,Severe,19,13,0.6842105263157895,2.1666666666666665
2018,Mild,4052,177,0.04368213228035538,0.04567741935483871
2018,Severe,27,4,0.14814814814814814,0.17391304347826086
2019,Mild,3885,60,0.015444015444015444,0.01568627450980392
2019,Severe,2,0,0,0
2020,Mild,4417,86,0.019470228661987776,0.01985684599399677
2020,Severe,1,0,0,0
2021,Mild,4316,72,0.016682113067655237,0.016965127238454288
2021,Severe,5,0,0,0
2022,Mild,2286,100,0.04374453193350831,0.04574565416285453
2022,Severe,2,0,0,0
2023,Mild,5852,309,0.05280246069719754,0.055745985928197725
2023,Severe,10,0,0,0
