scenario,endpoint,method,theta,overdispersion_ratio,aic,ljung_box_p,n_train_months
EV71 vaccine impact,EV71 typed cases,baseline_typed,4.612388160370355,1.1086502728366998,810.7095014837654,0,77
EV71 vaccine impact,EV71 typed cases,typing_fraction_offset,4.381079195710658,1.1200247925689522,814.4511565538518,0,77
EV71 vaccine impact,EV71 typed cases,annual_rescaled_typed,3.978101131776946,1.082605779296528,1373.07299705471,0,77
EV71 vaccine impact,CV-A16 typed cases,baseline_typed,2.9498435612920804,0.9792561438235665,737.3269928966847,0,77
EV71 vaccine impact,CV-A16 typed cases,typing_fraction_offset,2.417469350274418,0.9472675768982888,751.9477465808051,0,77
EV71 vaccine impact,CV-A16 typed cases,annual_rescaled_typed,2.180753098773955,0.9156591892014861,1309.7099289718167,0,77
EV71 vaccine impact,Other typed cases,baseline_typed,9.581853820980994,1.3629594114387396,701.1169012215064,8.46558499967287e-8,76
EV71 vaccine impact,Other typed cases,typing_fraction_offset,11.327112375710573,1.4395913835815592,692.2979520400522,9.851831570339975e-5,76
EV71 vaccine impact,Other typed cases,annual_rescaled_typed,6.996952976600635,1.2077005481729428,1254.8248645694912,4.0879134608051704e-4,76
COVID-19 impact,EV71 typed cases,baseline_typed,1.339388296067584,0.7725487510572773,1343.9340121771409,0,132
COVID-19 impact,EV71 typed cases,typing_fraction_offset,1.4967895804318083,0.978027968217293,1328.6669751856168,0,132
COVID-19 impact,EV71 typed cases,annual_rescaled_typed,1.3769201891182794,0.9406394812223462,2289.9269175357476,0,132
COVID-19 impact,CV-A16 typed cases,baseline_typed,2.6547326948680947,0.9490524352475519,1251.5413731147517,0,132
COVID-19 impact,CV-A16 typed cases,typing_fraction_offset,2.741865724066694,1.0226832696548536,1246.560831497017,0,132
COVID-19 impact,CV-A16 typed cases,annual_rescaled_typed,2.370275068583534,0.9784834542092955,2198.941994417092,0,132
COVID-19 impact,Other typed cases,baseline_typed,4.092734899508407,1.0552452688997016,1343.670511087311,0,134
COVID-19 impact,Other typed cases,typing_fraction_offset,4.492174271423957,1.1058056018518418,1323.336729633054,0,134
COVID-19 impact,Other typed cases,annual_rescaled_typed,3.578426890498952,1.0530729471854197,2311.065218091101,1.1102230246251565e-16,134
