scenario,endpoint,method,year,actual_cases,predicted_cases,lower_95,upper_95,difference,percent_change
EV71 vaccine impact,Other typed cases,annual_rescaled_typed,2019,39775.98290380199,108641.08742315709,35893.42008188217,332167.49497489294,-68865.10451935511,-63.38771651937309
EV71 vaccine impact,Other typed cases,baseline_typed,2016,814,1014.0355848099844,684.1324873963785,1503.6816698202747,-200.03558480998436,-19.726682949441873
EV71 vaccine impact,Other typed cases,baseline_typed,2017,1745,2314.8569452234474,1394.4771523046702,3857.3143044963786,-569.8569452234474,-24.617371989198258
EV71 vaccine impact,Other typed cases,baseline_typed,2018,2932,2966.2132222819264,1428.4624071728017,6197.632195466166,-34.21322228192639,-1.1534309814587755
EV71 vaccine impact,Other typed cases,baseline_typed,2019,2203,3776.0686189844546,1360.3561029653367,10574.56271327154,-1573.0686189844546,-41.65889918090312
EV71 vaccine impact,Other typed cases,typing_fraction_offset,2016,814,944.0065664836153,654.5417189995189,1362.0100083621696,-130.0065664836153,-13.77178624592457
EV71 vaccine impact,Other typed cases,typing_fraction_offset,2017,1745,2830.3519359149527,1766.8085878952263,4549.143245899713,-1085.3519359149527,-38.34688973278148
EV71 vaccine impact,Other typed cases,typing_fraction_offset,2018,2932,3447.1303893976797,1746.8203442751012,6839.288358348967,-515.1303893976797,-14.943745411605647
EV71 vaccine impact,Other typed cases,typing_fraction_offset,2019,2203,6435.783550723518,2488.3160225434426,16774.02352392018,-4232.783550723518,-65.76951380298773
COVID-19 impact,EV71 typed cases,annual_rescaled_typed,2020,1035.4355384962746,3861.668234946229,2176.4468231998776,6852.145452642711,-2826.2326964499543,-73.18683337097465
COVID-19 impact,EV71 typed cases,annual_rescaled_typed,2021,884.7522553782095,5139.410963048587,2847.7060680585932,9275.757128390464,-4254.658707670378,-82.78494828027154
COVID-19 impact,EV71 typed cases,annual_rescaled_typed,2022,1311.5998256320836,3973.487923862916,2144.033953183883,7364.153465987907,-2661.8880982308324,-66.99122154731548
COVID-19 impact,EV71 typed cases,annual_rescaled_typed,2023,3738.9775662814413,3072.065338732703,1610.6090692913026,5859.714547677654,666.9122275487384,21.708920677574355
COVID-19 impact,EV71 typed cases,baseline_typed,2020,87,148.54037891198618,82.16541603582837,268.5698502250753,-61.54037891198618,-41.43006727379521
COVID-19 impact,EV71 typed cases,baseline_typed,2021,72,208.81392778415423,113.65836240014434,383.6753115103509,-136.81392778415423,-65.51954136199927
COVID-19 impact,EV71 typed cases,baseline_typed,2022,106,171.90408356042062,91.02353918794026,324.6774318626932,-65.90408356042062,-38.337706816171554
COVID-19 impact,EV71 typed cases,baseline_typed,2023,313,141.51840472678734,72.72804721776507,275.3894610640373,171.48159527321266,121.17264578008187
COVID-19 impact,EV71 typed cases,typing_fraction_offset,2020,87,332.1298585766131,189.68082715351355,581.6290622831681,-245.12985857661312,-73.80542647600245
COVID-19 impact,EV71 typed cases,typing_fraction_offset,2021,72,429.060078329776,241.29521925222704,763.008763108903,-357.060078329776,-83.2191332551194
COVID-19 impact,EV71 typed cases,typing_fraction_offset,2022,106,330.64599573878246,181.15233669854945,603.5499876832271,-224.64599573878246,-67.94154432048761
COVID-19 impact,EV71 typed cases,typing_fraction_offset,2023,313,265.76739136616254,141.54036062939016,499.0508762391678,47.23260863383746,17.77216098297118
COVID-19 impact,CV-A16 typed cases,annual_rescaled_typed,2020,2618.342741025062,24266.42593954412,15707.49739330084,37489.1075104946,-21648.083198519056,-89.21001902979762
COVID-19 impact,CV-A16 typed cases,annual_rescaled_typed,2021,13799.67753874624,35506.16326813815,22613.319543807764,55749.782887062654,-21706.485729391912,-61.13441648275884
COVID-19 impact,CV-A16 typed cases,annual_rescaled_typed,2022,9601.900610287707,37476.27379421685,23410.61003999268,59992.931415435254,-27874.373183929147,-74.3787211529834
COVID-19 impact,CV-A16 typed cases,annual_rescaled_typed,2023,4599.06186267845,38097.8079902876,23302.267769245605,62287.628387490215,-33498.74612760915,-87.92827696582727
COVID-19 impact,CV-A16 typed cases,baseline_typed,2020,220,1076.827134357168,706.3574426394443,1641.6453069244844,-856.827134357168,-79.56960843753876
COVID-19 impact,CV-A16 typed cases,baseline_typed,2021,1123,1702.0210920796583,1099.069611836268,2635.8220985979924,-579.0210920796583,-34.019619073707624
COVID-19 impact,CV-A16 typed cases,baseline_typed,2022,776,1945.5748647086982,1232.5355063122843,3071.1886260076317,-1169.5748647086982,-60.11461629793481
COVID-19 impact,CV-A16 typed cases,baseline_typed,2023,385,2138.5168007446405,1327.1445333206589,3446.0015972049064,-1753.5168007446405,-81.9968681159792
COVID-19 impact,CV-A16 typed cases,typing_fraction_offset,2020,220,1993.25133152046,1314.5102928245399,3022.543865443249,-1773.25133152046,-88.96275665185769
COVID-19 impact,CV-A16 typed cases,typing_fraction_offset,2021,1123,2814.1509616274657,1827.1243018533237,4334.493557243333,-1691.1509616274657,-60.09453596083729
COVID-19 impact,CV-A16 typed cases,typing_fraction_offset,2022,776,2937.6094132102753,1871.33519870746,4611.54723011268,-2161.6094132102753,-73.5839626428766
COVID-19 impact,CV-A16 typed cases,typing_fraction_offset,2023,385,3078.694340897759,1921.4687421940882,4932.965248685153,-2693.694340897759,-87.49469881158348
COVID-19 impact,Other typed cases,annual_rescaled_typed,2020,49058.221720478665,95630.82871028411,67181.17372181239,136129.93436768712,-46572.60698980545,-48.700411381875895
COVID-19 impact,Other typed cases,annual_rescaled_typed,2021,38437.57020587555,113857.75553422264,78847.498913946,164414.75670667837,-75420.18532834708,-66.24070971228461
COVID-19 impact,Other typed cases,annual_rescaled_typed,2022,17471.499564080208,135558.67569196023,92401.547310651,198873.7562415069,-118087.17612788003,-87.11148550626007
COVID-19 impact,Other typed cases,annual_rescaled_typed,2023,61949.96057104011,161395.7210831779,108142.99442515767,240872.2514869521,-99445.76051213779,-61.61610719585732
COVID-19 impact,Other typed cases,baseline_typed,2020,4122,4464.473194048478,3174.327777753574,6279.156124231205,-342.47319404847804,-7.671077396209341
COVID-19 impact,Other typed cases,baseline_typed,2021,3128,5831.03367516946,4088.554003354473,8316.31456780006,-2703.0336751694604,-46.35599493585338
COVID-19 impact,Other typed cases,baseline_typed,2022,1412,7615.8938004794,5258.186537813726,11030.948626834679,-6203.8938004794,-81.45982550451113
COVID-19 impact,Other typed cases,baseline_typed,2023,5186,9947.093707788425,6753.492427492102,14651.064689377145,-4761.093707788425,-47.864168647175404
COVID-19 impact,Other typed cases,typing_fraction_offset,2020,4122,7620.731031449009,5485.093428342442,10588.139868825692,-3498.7310314490087,-45.91070091583798
COVID-19 impact,Other typed cases,typing_fraction_offset,2021,3128,8704.47056768049,6179.555540314095,12261.272872972311,-5576.47056768049,-64.06444279777112
COVID-19 impact,Other typed cases,typing_fraction_offset,2022,1412,10194.528708551083,7127.874735578103,14580.767434923298,-8782.528708551083,-86.14943328556595
COVID-19 impact,Other typed cases,typing_fraction_offset,2023,5186,12453.321823217979,8564.18360847047,18108.773309024666,-7267.321823217979,-58.356492559830755
