scenario,endpoint,method,year,actual_cases,predicted_cases,lower_95,upper_95,difference,percent_change
EV71 vaccine impact,EV71 typed cases,annual_rescaled_typed,2016,15119.323144104805,12741.07982884577,7278.198580275118,22319.918101125055,2378.2433152590347,18.665947841208077
EV71 vaccine impact,EV71 typed cases,annual_rescaled_typed,2017,13088.970537261699,20195.381283803177,10035.955125052007,40881.655906744454,-7106.410746541478,-35.18829700056648
EV71 vaccine impact,EV71 typed cases,annual_rescaled_typed,2018,5063.290126459144,12216.392559132997,4482.144748331592,33610.9845319802,-7153.102432673853,-58.55331185576696
EV71 vaccine impact,EV71 typed cases,annual_rescaled_typed,2019,1137.4883898953815,6687.08560952571,1653.2203344778407,27402.41997943773,-5549.597219630329,-82.98977377715883
EV71 vaccine impact,EV71 typed cases,baseline_typed,2016,400,351.3859676609366,205.58568744442022,601.0746604650935,48.614032339063385,13.834938447505849
EV71 vaccine impact,EV71 typed cases,baseline_typed,2017,470,566.352914580835,289.54851394993597,1114.0860705391947,-96.35291458083498,-17.012875205585726
EV71 vaccine impact,EV71 typed cases,baseline_typed,2018,181,360.1240324668043,137.43513310087067,952.0580054321514,-179.1240324668043,-49.73953869166332
EV71 vaccine impact,EV71 typed cases,baseline_typed,2019,63,209.73617292530002,54.75519856521101,813.286961083873,-146.73617292530002,-69.96226300818496
EV71 vaccine impact,EV71 typed cases,typing_fraction_offset,2016,400,339.00355574383406,195.8591017497376,587.2576761913969,60.996444256165944,17.99286267730405
EV71 vaccine impact,EV71 typed cases,typing_fraction_offset,2017,470,732.8482246098251,369.2575326999972,1463.006161647685,-262.84822460982514,-35.86666594570354
EV71 vaccine impact,EV71 typed cases,typing_fraction_offset,2018,181,445.71982314664973,166.570557485869,1203.6632200224599,-264.71982314664973,-59.39153014954693
EV71 vaccine impact,EV71 typed cases,typing_fraction_offset,2019,63,382.6880760284683,96.99654587665219,1529.0286139300808,-319.6880760284683,-83.53750640631054
EV71 vaccine impact,CV-A16 typed cases,annual_rescaled_typed,2016,14968.129912663757,18164.242283460022,8518.858654823118,38777.558219244216,-3196.112370796265,-17.59562728199556
EV71 vaccine impact,CV-A16 typed cases,annual_rescaled_typed,2017,18658.745233968802,41526.88855191125,15934.432695084057,109427.08359496978,-22868.14331794245,-55.06828013217464
EV71 vaccine impact,CV-A16 typed cases,annual_rescaled_typed,2018,27946.004620622567,44658.12889958537,11308.548085632543,179485.53935084154,-16712.1242789628,-37.42235667002602
EV71 vaccine impact,CV-A16 typed cases,annual_rescaled_typed,2019,29845.528706302626,47500.658105120136,7014.373574504586,329668.27170670475,-17655.12939881751,-37.168178511856134
EV71 vaccine impact,CV-A16 typed cases,baseline_typed,2016,396,527.460250728296,269.16854921371174,1034.8996161642701,-131.46025072829605,-24.92325261416021
EV71 vaccine impact,CV-A16 typed cases,baseline_typed,2017,670,1321.0024331699094,562.2315821505301,3133.08221189979,-651.0024331699094,-49.28094126274606
EV71 vaccine impact,CV-A16 typed cases,baseline_typed,2018,999,1666.5565706535358,487.920599394769,5777.309688295104,-667.5565706535358,-40.05604024541184
EV71 vaccine impact,CV-A16 typed cases,baseline_typed,2019,1653,2155.0940544449086,388.55092576915644,12203.1296442864,-502.0940544449086,-23.29801121251916
EV71 vaccine impact,CV-A16 typed cases,typing_fraction_offset,2016,396,483.09613469896874,231.10223959026789,1011.3020416318092,-87.09613469896874,-18.02873764519786
EV71 vaccine impact,CV-A16 typed cases,typing_fraction_offset,2017,670,1520.1383365421334,597.7482590537483,3908.338965947575,-850.1383365421334,-55.92506393042803
EV71 vaccine impact,CV-A16 typed cases,typing_fraction_offset,2018,999,1665.986361037448,435.4934212090431,6483.794076988815,-666.986361037448,-40.0355234974493
EV71 vaccine impact,CV-A16 typed cases,typing_fraction_offset,2019,1653,2827.3916217283254,435.20135186262655,18813.843883910085,-1174.3916217283254,-41.5362206177312
EV71 vaccine impact,Other typed cases,annual_rescaled_typed,2016,30767.82259825328,35622.116218627605,23176.76932281329,54774.753743232286,-4854.293620374327,-13.627190452643315
EV71 vaccine impact,Other typed cases,annual_rescaled_typed,2017,48596.284228769495,77745.8794843445,44689.712547618125,135835.81243945725,-29149.595255575012,-37.493427881852945
EV71 vaccine impact,Other typed cases,annual_rescaled_typed,2018,82019.70525291828,92908.23534387938,41945.798437378035,207248.36252221183,-10888.530090961096,-11.71966085746823
