"year","reported_cases","records_with_serotype_field","non_missing_typed_cases","ev71_typed_cases","cva16_typed_cases","other_typed_cases","typed_fraction_pct","ev71_share_pct","cva16_share_pct","other_share_pct"
2008,26359,76,76,69,0,7,0.288,90.79,0,9.21
2009,55925,500,500,251,83,166,0.894,50.2,16.6,33.2
2010,84323,2229,2229,1166,681,382,2.643,52.31,30.55,17.14
2011,82739,2403,2403,1634,398,371,2.904,68,16.56,15.44
2012,105554,2542,2542,1059,870,613,2.408,41.66,34.23,24.11
2013,90447,2692,2692,1497,177,1018,2.976,55.61,6.58,37.82
2014,145528,3268,3268,1405,1092,771,2.246,42.99,33.41,23.59
2015,92572,2770,2770,532,763,1475,2.992,19.21,27.55,53.25
2016,138493,3664,3664,1266,900,1498,2.646,34.55,24.56,40.88
2017,80344,2885,2885,470,670,1745,3.591,16.29,23.22,60.49
2018,115029,4112,4112,181,999,2932,3.575,4.4,24.29,71.3
2019,70759,3919,3919,63,1653,2203,5.539,1.61,42.18,56.21
2020,52712,4429,4429,87,220,4122,8.402,1.96,4.97,93.07
2021,53122,4323,4323,72,1123,3128,8.138,1.67,25.98,72.36
2022,28385,2294,2294,106,776,1412,8.082,4.62,33.83,61.55
2023,70288,5884,5884,313,385,5186,8.371,5.32,6.54,88.14
